name,appearances,assist,assistCorner,assistCross,assistFreekick,assistOther,assistThroughball,assistThrowin,challengeLost,clearanceTotal,dispossessed,dribbleLost,dribbleTotal,dribbleWon,duelAerialLost,duelAerialTotal,duelAerialWon,foulCommitted,foulGiven,goalObox,goalPenaltyArea,goalSixYardBox,goalTotal,interceptionAll,keyPassLong,keyPassShort,keyPassesTotal,mins,offsideGiven,outfielderBlock,outfielderBlockedPass,passCrossBlockedDefensive,passLongBallAccurate,passLongBallInaccurate,passTotal,rating,redCard,saveObox,savePenaltyArea,saveSixYardBox,saveTotal,shortPassAccurate,shortPassInaccurate,shotOboxTotal,shotPenaltyArea,shotSixYardBox,shotsTotal,tackleTotalAttempted,tackleWonTotal,team,turnover,yellowCard
Abdul Rwatubyaye ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,0,0,0,0,0,1,0,0,0,90,0,0,0,1,4,5,64,5.74,0,0,0,0,0,48,7,0,0,0,0,1,1,"Sporting Kansas City, ",1,1
Danny Wilson ,3,0,0,0,0,0,0,0,1.3,4,0.3,0,0.3,0.3,1.3,3.3,2,1,0,0,0,0,0,1,0,0,0,270,0,1,0,0.7,5.7,6,27.7,7.02,0,0,0,0,0,13.3,2.7,0,0.3,0,0.3,3.3,2,"Colorado Rapids, ",0,0
Lamine Sané ,21,0,0,0,0,0,0,0,0.3,4.3,0.1,0,0.3,0.3,1.2,3.4,2.1,0.4,0.5,0,0,0,0,1.9,0,0.3,0.4,1890,0.1,0.4,0.3,0,3.6,2.7,43.7,6.79,0,0,0,0,0,34.3,3,0,0.3,0,0.3,1,0.8,"Orlando City, ",0.3,0.1
Aljaz Struna ,25,0,0,0,0,0,0,0,0.4,2.5,0,0,0.2,0.2,0.9,2.2,1.3,0.9,0.2,0,0,0,0,0.7,0,0.2,0.2,2250,0,0.8,0.5,0.1,2.4,2.1,45.9,6.32,0,0,0,0,0,38,3.4,,,,,1.1,0.7,"Houston Dynamo, ",0.2,0.1
Kim Kee-hee ,24,0,0,0,0,0,0,0,0.6,3.1,0.3,0.1,0.3,0.2,1,2.1,1.1,1,0.4,0,0,0,0,1.6,0,0.3,0.3,2082,0,0.3,0.6,0,3.1,2.9,43.7,6.48,0,0,0,0,0,34.3,3.5,0.1,0.4,0.1,0.6,1.5,1,"Seattle Sounders FC, ",0.4,0.3
Andreu Fontàs ,10,0,0,0,0,0,0,0,1.3,2.8,0.2,0,0.2,0.2,1.5,3.5,1.9,0.7,0.5,0,0,0,0,1.2,0.1,0.2,0.3,878,0,0.6,0.8,0.1,3.6,3.2,75,6.49,0,0,0,0,0,64.7,3.6,0.2,0,0.1,0.3,3.4,2.1,"Sporting Kansas City, ",0.1,0.2
Robin Jansson ,23,0,0,0,0,0,0,0,0.4,4.5,0.1,0,0.1,0,1.3,2.4,1.1,0.7,0.4,0,0,0,0,1.2,0,0,0,2025,0,0.5,0.3,0.2,2.4,3.9,38,6.47,0,0,0,0,0,29.2,2.4,0.2,0.2,0,0.4,1.1,0.7,"Orlando City, ",0.3,0.2
Axel Sjöberg ,5,0,0,0,0,0,0,0,0.2,2.6,0,0,0.2,0.2,1.4,3.5,2.1,1.2,0.5,0,0,0,0,1.4,0,0,0,387,0,0.5,0.5,0,1.9,3,42.6,6.02,0.2,0,0,0,0,34.2,3.5,0,1.2,0,1.2,1.2,0.9,"Colorado Rapids, ",0.2,0
Francois Affolter ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,1,0,0,0,0,0,1,0,0,0,90,0,0,0,0,4,1,57,6.33,0,0,0,0,0,48,4,0,0,0,0,3,2,"San Jose Earthquakes, ",0,0
Reto Ziegler ,25,0,0,0,0,0,0,0,0.5,2.9,0.1,0,0,0,1.2,2.5,1.4,1.1,0.4,0,0.2,0,0.2,1.1,0,0.2,0.2,2250,0.2,0.5,0.5,0.2,5.2,3.9,67.1,6.65,0,0,0,0,0,54.1,3.9,0.4,0.4,0,0.8,1.6,1.2,"FC Dallas, ",0.4,0.2
Justin Hoyte ,8,0,0,0,0,0,0,0,0.1,3,0.3,0,0.1,0.1,1.1,2,0.9,0.4,0,0,0,0,0,0.8,0.1,0,0.1,720,0,1,0,0,3.4,1.9,50.9,5.89,0,0,0,0,0,43.4,2.3,0,0,0,0,0.6,0.5,"FC Cincinnati, ",0.3,0.1
Aboubacar Keita ,6,0,0,0,0,0,0,0,0,5.1,0,0,0.5,0.5,1.7,3.8,2.1,0.7,0.3,0,0,0,0,0.9,0,0.2,0.2,526,0,0.2,0.2,0,2.9,2.7,35.4,6.6,0,0,0,0,0,26.3,3.4,0,0.3,0,0.3,1,1,"Columbus Crew, ",0,0
Donovan Pines ,9,0.1,0,0,0,0.1,0,0,0.2,6.6,0.2,0.1,0.6,0.5,1.2,5.7,4.5,0.9,0.5,0,0,0,0,1.9,0,0.6,0.6,772,0,0.7,0.5,0.1,1.6,2.4,36.5,7.19,0,0,0,0,0,28,4.4,0,0.1,0.1,0.2,2.1,1.9,"DC United, ",0.8,0.1
Derek Cornelius ,12,0,0,0,0,0,0,0,0.3,7.3,0.1,0.1,0.2,0.1,1.6,3,1.5,1.5,0.2,0,0,0,0,0.4,0,0.2,0.2,1036,0.1,1.5,0.3,0.3,1.7,3.9,38.7,6.32,0,0,0,0,0,29.6,3.6,0,0.1,0.2,0.3,1.4,1,"Vancouver Whitecaps, ",0.5,0.3
Erik Holt ,4,0,0,0,0,0,0,0,0.3,2.2,0.3,0,0.6,0.6,0.6,1.3,0.6,1.3,0.3,0,0,0,0,2.6,0,0,0,281,0,1.3,1.3,0.3,1.9,3.8,37.2,6.41,0,0,0,0,0,26.9,4.5,0,0,0,0,2.2,1.9,"Real Salt Lake, ",0,0
Brendan McDonough ,1,0,0,0,0,0,0,0,0,2.7,0,0,0,0,1.4,4.1,2.7,0,1.4,0,0,0,0,0,0,0,0,66,0,5.5,0,0,2.7,2.7,46.4,6.26,0,0,0,0,0,39.5,1.4,0,0,0,0,0,0,"Vancouver Whitecaps, ",0,0
Antonio Mlinar Delamea ,11,0.1,0,0,0,0.1,0,0,0.6,3.9,0,0,0.1,0.1,1.7,3.8,2,1.6,0.6,0,0.2,0,0.2,2,0,0.1,0.1,980,0,1.1,0.5,0.5,2.9,1.9,39.2,6.89,0,0,0,0,0,31.2,3.1,0,0.5,0.1,0.6,2.2,1.6,"New England Revolution, ",0.1,0.5
Diego Polenta ,18,0.1,0,0,0,0.1,0,0,1.4,4.1,0.1,0.1,0.5,0.4,0.9,2.6,1.7,0.9,0.7,0,0.1,0,0.1,0.7,0.4,0,0.4,1620,0,0.8,0.6,0.3,4.2,3.9,47.5,6.79,0,0,0,0,0,34.7,4.7,0.1,0.4,0.1,0.7,3.7,2.3,"LA Galaxy, ",0.3,0.3
Miles Robinson ,27,0,0,0,0,0,0,0,0.6,3.9,0.3,0.1,0.4,0.3,1.3,4.4,3.1,0.7,0.9,0,0,0,0,1.9,0,0,0.1,2430,0,0.7,0.7,0.1,2.7,3.1,58.7,7.13,0,0,0,0,0,48,4.9,0,0.5,0,0.6,2.5,1.9,"Atlanta United, ",0.5,0.1
Sean Nealis ,3,0,0,0,0,0,0,0,0.7,6,0,0,0,0,1,5.3,4.3,1,1,0,0.3,0,0.3,2,0,0,0,270,0,0.7,0,0.3,1.3,3.3,34,6.88,0,0,0,0,0,26,3.3,0,0.7,0,0.7,1.7,1,"New York Red Bulls, ",1,0.3
Justen Glad ,19,0,0,0,0,0,0,0,0.4,4.6,0.2,0.1,0.2,0.1,1.6,4.3,2.7,1,0.5,0,0,0,0,1.2,0,0.1,0.1,1704,0,0.6,0.5,0.2,2.9,3.4,48.4,6.79,0,0,0,0,0,37.6,4.6,0,0.3,0.1,0.4,1.2,0.8,"Real Salt Lake, ",0.3,0.1
Kamal Miller ,6,0,0,0,0,0,0,0,0.5,4.2,0,0,0.2,0.2,1,2,1,0.2,0.2,0,0,0,0,1.2,0,0,0,540,0,0.5,0.2,0,1.8,5.3,40.5,6.44,0,0,0,0,0,29.3,4,0,0,0,0,1.5,1,"Orlando City, ",0.5,0
Tristan Blackmon ,5,0,0,0,0,0,0,0,0.2,3.8,0,0.2,0.8,0.6,2.2,3.8,1.6,0.8,0.2,0,0,0,0,3,0,0.2,0.2,450,0,0.6,0.2,0,2.6,1.8,60,7.05,0,0,0,0,0,49.8,5.8,0,0,0,0,0.8,0.6,"Los Angeles FC, ",0.6,0.4
Graham Smith ,8,0.1,0,0.1,0,0,0,0,0.1,3.8,0,0,0,0,2.1,4.7,2.6,0.7,0.5,0,0,0.1,0.1,0.7,0,0.3,0.3,691,0,1.7,0.3,0,3.9,1.6,57.8,7.04,0,0,0,0,0,49.6,2.7,0,0.5,0.1,0.7,1.3,1.2,"Sporting Kansas City, ",0.4,0
Brandon Bye ,1,0,0,0,0,0,0,0,1,3,0,1,1,0,2,6,4,1,0,0,0,0,0,2,0,0,0,90,0,2,0,0,1,12,53,6.83,0,0,0,0,0,29,11,0,1,0,1,3,2,"New England Revolution, ",0,0
Grant Lillard ,1,0,0,0,0,0,0,0,0,7,0,0,0,0,3,4,1,0,1,0,0,0,0,0,0,0,0,90,0,0,0,0,4,7,43,6.17,0,0,0,0,0,30,2,0,0,0,0,2,2,"Chicago Fire, ",1,0
Keegan Rosenberry ,3,0,0,0,0,0,0,0,0,4,0.3,0.3,0.3,0,1.7,3,1.3,1.3,0.3,0,0,0,0,2,0,1,1,270,0,0.7,0,0,2,4.7,39.3,7.09,0,0,0,0,0,29.3,3.3,0.3,0.3,0,0.7,2.3,2.3,"Colorado Rapids, ",0.7,0
Jalen Robinson ,3,0,0,0,0,0,0,0,0,4.3,0.7,0,0,0,2.2,4.7,2.5,0,0,0,0,0,0,0,0,0.4,0.4,251,0,0.7,0,0,0.7,1.4,22.9,6.54,0,0,0,0,0,17.2,3.6,0,0.4,0,0.4,1.1,1.1,"DC United, ",0,0
Alex Crognale ,9,0,0,0,0,0,0,0,0.4,3.1,0.2,0.1,0.1,0,1.2,3,1.8,1.1,0.8,0,0,0,0,0.8,0,0.1,0.1,810,0,1,0.1,0.1,4.8,3.7,39,6.37,0,0,0,0,0,27,3.6,0,0,0.3,0.3,1.4,1,"Columbus Crew, ",0.2,0.6
Forrest Lasso ,4,0,0,0,0,0,0,0,0.3,6,0,0,0,0,1,5.8,4.8,1,1.5,0,0,0,0,1.8,0,0,0,360,0.3,1.8,0.3,0,2.8,4.5,37.8,6.95,0,0,0,0,0,23.5,7,0.3,0.3,0,0.5,1.3,1,"FC Cincinnati, ",0,0.5
Walker Zimmerman ,21,0,0,0,0,0,0,0,0.6,3.8,0.1,0.1,0.4,0.2,2.1,6.1,4,1.2,0.5,0,0,0,0,1.5,0,0.2,0.2,1844,0,0.4,0.2,0.1,2.2,3.6,53.7,6.94,0,0,0,0,0,43,4.8,0,0.8,0.1,0.9,2.4,1.8,"Los Angeles FC, ",0.4,0.2
Aaron Long ,18,0,0,0,0,0,0,0,0.2,5.3,0.2,0.1,0.1,0.1,2.6,7.5,4.9,0.7,1,0,0,0.1,0.1,1.4,0,0.2,0.2,1569,0,0.7,0.6,0.1,2.6,6.5,38.8,6.73,0,0,0,0,0,22,7.6,0,0.6,0.1,0.7,0.9,0.7,"New York Red Bulls, ",0.4,0.1
Nick Hagglund ,16,0,0,0,0,0,0,0,0.4,5,0.3,0.2,0.7,0.5,1.9,5.9,4.1,0.8,0.2,0,0,0,0,1.4,0,0.2,0.2,1440,0.1,1.3,0.4,0.2,5.6,5.5,49.3,6.65,0,0,0,0,0,33.3,4.9,0,0.4,0.2,0.6,1.6,1.1,"FC Cincinnati, ",0.3,0.1
Shane O'Neill ,8,0,0,0,0,0,0,0,0.5,4.6,0.3,0.4,0.7,0.3,0.9,4.5,3.6,0.7,0.1,0,0,0,0,1.1,0,0.5,0.5,678,0,0.9,0.7,0.4,2.8,6.4,40.2,6.64,0,0,0,0,0,24.2,6.9,0,0.4,0,0.4,2.4,1.9,"Orlando City, ",0.5,0.3
Dave Romney ,3,0,0,0,0,0,0,0,0.3,6,0,0,0,0,1,2.3,1.3,0.3,0,0,0,0,0,0,0,0,0,270,0,1,0.7,0.3,1.7,3,32.3,6.64,0,0,0,0,0,25.3,2.3,0,1,0,1,1,0.7,"LA Galaxy, ",0.3,0
Tim Parker ,22,0,0,0,0,0,0,0,0.3,3.7,0.2,0,0.1,0.1,1.3,3.6,2.3,0.8,0.5,0,0,0,0,0.8,0.1,0.1,0.2,1881,0,0.5,0.3,0,2.5,4.9,37.8,6.51,0,0,0,0,0,25.6,4.7,0,0.6,0.1,0.7,1.5,1.2,"New York Red Bulls, ",0.6,0.2
Jonathan Campbell ,3,0,0,0,0,0,0,0,0,3,0.3,0,0,0,1.7,2.3,0.7,1,0,0,0,0,0,1.7,0,0,0,270,0,1.7,0.7,0,4,5,43,6.42,0,0,0,0,0,31,3,0,0,0,0,1.7,1.7,"Seattle Sounders FC, ",1,0.3
Tony Rocha ,1,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,3.9,0,0,0,46,0,0,0,0,3.9,2,58.7,5.76,0,0,0,0,0,45,7.8,0,0,0,0,0,0,"New York City FC, ",0,0
Steven Birnbaum ,30,0,0,0,0,0,0,0,0.1,5.3,0.1,0,0.1,0,2.2,7.4,5.2,1.1,0.3,0,0,0,0,1.2,0,0.1,0.2,2672,0.2,1,0.2,0,2.1,3,42.5,6.94,0,0,0,0,0,32,5.4,0,0.6,0.1,0.7,0.7,0.6,"DC United, ",0.3,0.2
Daniel Steres ,23,0,0,0,0,0,0,0,0.3,3.9,0,0,0.3,0.3,1.6,4.5,2.9,0.7,0.4,0,0,0.1,0.1,1.7,0,0.2,0.2,1985,0,1,0.2,0.1,4,3.2,45.3,6.85,0,0,0,0,0,34.1,4,0,0.4,0.3,0.7,1.1,0.8,"LA Galaxy, ",0.3,0.1
Brent Kallman ,14,0.1,0,0,0,0.1,0,0,0.4,4.4,0.1,0,0.1,0.1,1.6,4.1,2.5,0.9,0.8,0,0,0,0,1.4,0,0.1,0.1,1260,0.1,0.4,0.6,0.1,2.1,1.6,43.6,6.67,0,0,0,0,0,35.9,4.1,0,0.1,0,0.1,1.3,0.9,"Minnesota United, ",0.4,0.1
Ryan Hollingshead ,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,3,2,1,2,0,0,0,0,1,0,0,0,90,0,0,1,0,4,1,85,6.61,0,0,0,0,0,79,1,0,2,0,2,3,2,"FC Dallas, ",0,0
Alex De John ,6,0,0,0,0,0,0,0,1.1,7.8,0.2,0,0,0,1.1,3.8,2.7,0.7,0.7,0,0,0,0,0.9,0,0.2,0.2,406,0,0.4,0,0.2,1.8,2.7,26.6,6.55,0,0,0,0,0,19.7,2.4,0,0.2,0,0.2,1.8,0.7,"Orlando City, ",0,0.2
Ben Sweat ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,10.6,0,58.2,6.35,0,0,0,0,0,42.4,5.3,0,0,0,0,0,0,"New York City FC, ",0,0
Kofi Opare ,3,0,0,0,0,0,0,0,0,3.7,0,0,0,0,3,7.3,4.3,0.3,0.3,0,0,0,0,0.3,0,0,0,270,0,0.3,0,0,0,0.7,36.3,6.1,0,0,0,0,0,30.3,5.3,0,0.7,0,0.7,0.7,0.7,"Colorado Rapids, ",0.7,0
Ike Opara ,23,0,0,0,0,0,0,0,0.5,5.6,0.1,0.1,0.4,0.3,1.6,4.4,2.9,0.7,0.2,0,0,0.1,0.1,1.7,0,0.2,0.3,2064,0,0.9,0.6,0,2.1,2.6,37.4,7.13,0,0,0,0,0,28.3,4.4,0,0.6,0.2,0.9,2.1,1.6,"Minnesota United, ",0.4,0.1
Omar González ,8,0.1,0,0,0,0.1,0,0,0.4,4,0,0,0.1,0.1,0.8,4.3,3.5,0.4,0.3,0,0,0,0,0.8,0,0.3,0.3,720,0.1,1,0.1,0.3,4.1,4.6,57.1,6.81,0,0,0,0,0,43.9,4.5,0,0.9,0,0.9,0.8,0.4,"Toronto FC, ",0.3,0
Jalil Anibaba ,16,0,0,0,0,0,0,0,0.4,3.9,0,0.1,0.2,0.1,1.3,3.7,2.4,0.6,0.5,0,0.1,0,0.1,1.9,0,0,0,1439,0,1,0.8,0.1,3.8,6.4,33,6.73,0.1,0,0,0,0,18.8,4,0.1,0.3,0,0.3,1.8,1.3,"New England Revolution, ",0.4,0.1
Chad Marshall ,8,0,0,0,0,0,0,0,0.3,3.6,0,0,0,0,1.6,4.6,3,0.8,0.3,0,0,0,0,1,0,0.3,0.3,720,0,1,0,0,2.9,1.3,45.4,6.89,0,0,0,0,0,38.5,2.8,0,0.8,0.1,0.9,1,0.8,"Seattle Sounders FC, ",0.3,0
Michael Parkhurst ,4,0,0,0,0,0,0,0,0.3,2.7,0,0,0,0,0.3,1.1,0.8,0,0,0,0,0,0,1.1,0,0.3,0.3,329,0,0.3,0.8,0,4.7,2.5,76.6,6.61,0,0,0,0,0,65.7,3.8,0,0.3,0,0.3,1.1,0.8,"Atlanta United, ",0.5,0
Drew Moor ,11,0,0,0,0,0,0,0,0.5,1.5,0.1,0.1,0.2,0.1,1.5,3.1,1.6,0.7,0.4,0,0,0,0,0.6,0,0.1,0.1,990,0.1,0.6,0,0.1,3.3,1.5,57.9,6.34,0,0,0,0,0,49.5,3.6,0,0.1,0,0.1,2.1,1.5,"Toronto FC, ",0.4,0.2
Alejandro Fuenmayor ,5,0.2,0,0,0,0.2,0,0,1.3,3.6,0.4,0,0,0,1,2.7,1.7,1.7,1.3,0,0,0,0,1.9,0,0.2,0.2,429,0,0.8,0,0.2,3.1,5,47,6.56,0,0,0,0,0,35.9,2.9,0,0,0.6,0.6,2.9,1.7,"Houston Dynamo, ",0.4,0.6
James Sands ,13,0,0,0,0,0,0,0,0.2,4.2,0.3,0,0.4,0.4,1,2.9,1.8,1.1,0.7,0,0,0,0,1.6,0,0.2,0.2,1032,0.1,0.6,0.7,0.1,2.9,2.4,52.8,6.68,0,0,0,0,0,42.9,4.7,0,0,0,0,1.7,1.5,"New York City FC, ",0.7,0.2
Mark McKenzie ,2,0,0,0,0,0,0,0,0,4,0.5,0.5,0.5,0,1,3,2,1,0,0,0,0,0,1.5,0,0,0,180,0,0.5,0.5,0,1,0,29,6.71,0,0,0,0,0,23.5,4.5,0,0,0,0,3,3,"Philadelphia Union, ",0,0
Auston Trusty ,22,0,0,0,0,0,0,0,0.5,4,0.3,0.1,0.5,0.4,2.6,5.4,2.9,1.4,0.6,0,0,0,0,1.3,0.1,0.1,0.2,1966,0,1.1,0.4,0.1,3.1,5.4,48.6,6.86,0,0,0,0,0,35.8,4.3,0.1,0.2,0.2,0.5,3.3,2.8,"Philadelphia Union, ",1,0.1
Andrew Farrell ,18,0,0,0,0,0,0,0,1.2,4.6,0.2,0.1,0.3,0.2,0.6,1.3,0.7,0.7,0.9,,,,,,0,0,0,1613,0,0.4,0.6,0.1,2.7,4.9,38.9,6.43,0,0,0,0,0,27.6,3.7,0,0,0,0,2.3,1.2,"New England Revolution, ",0.4,0.3
Eriq Zavaleta ,11,0,0,0,0,0,0,0,0.6,3.3,0.1,0.1,0.1,0,1.8,3.7,1.9,1,0.1,,,,,,0.1,0.1,0.2,912,0,0.4,0.3,0,2.6,2.2,54.5,6.39,0,0,0,0,0,47.2,2.6,0,0.5,0,0.5,2.6,2,"Toronto FC, ",0.3,0.1
Saad Abdul-Salaam ,3,0,0,0,0,0,0,0,0.7,2.3,0.7,0,0,0,1,2.3,1.3,0.7,0.3,,,,,,0,0,0,270,0,0,0.3,0,2.7,2.3,45.7,6.14,0,0,0,0,0,35.3,5.3,0,0,0,0,1,0.3,"Seattle Sounders FC, ",1,0
Matt Hedges ,28,0,0,0,0,0,0,0,0.5,4,0.2,0.1,0.5,0.4,1.3,3.4,2.1,0.4,0.3,0,0,0,0,1.5,0,0.3,0.3,2435,0,0.9,0.3,0,4.3,3.3,61.7,6.76,0,0,0,0,0,50.2,4,0,0.3,0,0.3,1.8,1.3,"FC Dallas, ",0.4,0.2
Kevin Garcia ,5,0,0,0,0,0,0,0,0.4,4.4,0.2,0.2,0.8,0.6,2.4,4,1.6,0.8,0.6,0,0,0,0,1.6,0,0.2,0.2,450,0,0.8,0.4,0,4,4.8,49,6.4,0,0,0,0,0,36.2,4,0,0.2,0,0.2,1,0.6,"Houston Dynamo, ",0.2,0
Connor Lade ,1,0,0,0,0,0,0,0,1,1,1,1,2,1,0,1,1,0,2,0,0,0,0,2,0,0,0,90,0,0,2,0,0,6,28,5.64,0,0,0,0,0,17,5,0,0,0,0,1,0,"New York Red Bulls, ",0,0
Josh Williams ,10,0,0,0,0,0,0,0,0.1,3.6,0,0.1,0.1,0,1.7,3.5,1.7,1.2,0.5,0,0.2,0,0.2,0.7,0,0.1,0.1,829,0.2,0.3,0.3,0,2.9,2.5,48.1,6.69,0,0,0,0,0,39.8,2.8,0,0.3,0,0.3,1.3,1.2,"Columbus Crew, ",0.4,0.2
Matt Besler ,21,0,0,0,0,0,0,0,0.5,3.6,0.1,0,0.2,0.2,1.1,4,2.9,0.5,0.4,0,0,0,0,1.5,0.2,0.2,0.3,1775,0,0.6,0.3,0,4.5,5.2,71.3,6.68,0,0,0,0,0,56.7,4.9,0,0.1,0,0.1,1.3,0.8,"Sporting Kansas City, ",0.4,0.1
Jeff Larentowicz ,1,0,0,0,0,0,0,0,1,1,2,0,0,0,3,5,2,1,0,0,0,0,0,1,0,0,0,90,0,0,1,0,2,6,66,6.1,0,0,0,0,0,47,11,0,0,0,0,5,4,"Atlanta United, ",1,0