,name,appearances,assist,assistCorner,assistCross,assistFreekick,assistOther,assistThroughball,assistThrowin,challengeLost,clearanceTotal,dispossessed,dribbleLost,dribbleTotal,dribbleWon,duelAerialLost,duelAerialTotal,duelAerialWon,foulCommitted,foulGiven,goalObox,goalPenaltyArea,goalSixYardBox,goalTotal,interceptionAll,keyPassLong,keyPassShort,keyPassesTotal,mins,offsideGiven,outfielderBlock,outfielderBlockedPass,passCrossBlockedDefensive,passLongBallAccurate,passLongBallInaccurate,passTotal,rating,redCard,saveObox,savePenaltyArea,saveSixYardBox,saveTotal,shortPassAccurate,shortPassInaccurate,shotOboxTotal,shotPenaltyArea,shotSixYardBox,shotsTotal,tackleTotalAttempted,tackleWonTotal,team,turnover,yellowCard,dribblePercentage,duelAerialPercentage,passLongBallPercentage,shortPassPercentage,tacklePercentage,assist_percentile,assistCross_percentile,assistThroughball_percentile,clearanceTotal_percentile,dispossessed_percentile,dribbleLost_percentile,dribbleWon_percentile,duelAerialLost_percentile,duelAerialWon_percentile,foulCommitted_percentile,foulGiven_percentile,goalObox_percentile,goalPenaltyArea_percentile,goalSixYardBox_percentile,interceptionAll_percentile,keyPassLong_percentile,keyPassShort_percentile,offsideGiven_percentile,outfielderBlock_percentile,outfielderBlockedPass_percentile,passCrossBlockedDefensive_percentile,passLongBallAccurate_percentile,passLongBallInaccurate_percentile,redCard_percentile,shortPassAccurate_percentile,shortPassInaccurate_percentile,shotOboxTotal_percentile,shotSixYardBox_percentile,shotsTotal_percentile,tackleWonTotal_percentile,turnover_percentile,yellowCard_percentile,dribblePercentage_percentile,duelAerialPercentage_percentile,passLongBallPercentage_percentile,shortPassPercentage_percentile,tacklePercentage_percentile,age,final_rating,top_percentile_average
53,Donovan Pines ,9,0.1,0,0.0,0,0.1,0.0,0,0.2,6.6,0.2,0.1,0.6,0.5,1.2,5.7,4.5,0.9,0.5,0,0.0,0.0,0.0,1.9,0.0,0.6,0.6,772,0.0,0.7,0.5,0.1,1.6,2.4,36.5,7.19,0.0,0,0,0,0,28.0,4.4,0.0,0.1,0.1,0.2,2.1,1.9,"DC United, ",0.8,0.1,0.833333333,0.7894736840000001,0.4,0.864197531,0.904761905,0.8540000000000001,0.012,0.012,0.976,0.46299999999999997,0.5489999999999999,0.878,0.256,0.976,0.5489999999999999,0.537,0.012,0.012,0.012,0.841,0.012,0.988,0.012,0.46299999999999997,0.573,0.39,0.049,0.171,0.988,0.159,0.6459999999999999,0.012,0.537,0.146,0.768,0.037000000000000005,0.134,0.512,0.976,0.183,0.11,0.963,21,48.78,0.508
54,Derek Cornelius ,12,0.0,0,0.0,0,0.0,0.0,0,0.3,7.3,0.1,0.1,0.2,0.1,1.6,3.0,1.5,1.5,0.2,0,0.0,0.0,0.0,0.4,0.0,0.2,0.2,1036,0.1,1.5,0.3,0.3,1.7,3.9,38.7,6.32,0.0,0,0,0,0,29.6,3.6,0.0,0.1,0.2,0.3,1.4,1.0,"Vancouver Whitecaps, ",0.5,0.3,0.5,0.5,0.303571429,0.891566265,0.7142857140000001,0.012,0.012,0.012,0.988,0.768,0.5489999999999999,0.195,0.598,0.183,0.085,0.073,0.012,0.012,0.012,0.037000000000000005,0.012,0.46299999999999997,0.78,0.976,0.305,0.902,0.061,0.585,0.988,0.244,0.366,0.012,0.8290000000000001,0.195,0.268,0.244,0.768,0.207,0.098,0.049,0.341,0.415,21,2.439,0.291
55,Antonio Mlinar Delamea ,11,0.1,0,0.0,0,0.1,0.0,0,0.6,3.9,0.0,0.0,0.1,0.1,1.7,3.8,2.0,1.6,0.6,0,0.2,0.0,0.2,2.0,0.0,0.1,0.1,980,0.0,1.1,0.5,0.5,2.9,1.9,39.2,6.89,0.0,0,0,0,0,31.2,3.1,0.0,0.5,0.1,0.6,2.2,1.6,"New England Revolution, ",0.1,0.5,1.0,0.526315789,0.604166667,0.9096209909999999,0.727272727,0.8540000000000001,0.012,0.012,0.39,0.988,0.012,0.195,0.768,0.402,0.073,0.695,0.012,0.951,0.012,0.915,0.012,0.183,0.012,0.878,0.573,1.0,0.341,0.073,0.988,0.305,0.256,0.012,0.537,0.573,0.7070000000000001,0.963,0.988,0.585,0.244,0.878,0.61,0.47600000000000003,27,86.585,0.597
56,Diego Polenta ,18,0.1,0,0.0,0,0.1,0.0,0,1.4,4.1,0.1,0.1,0.5,0.4,0.9,2.6,1.7,0.9,0.7,0,0.1,0.0,0.1,0.7,0.4,0.0,0.4,1620,0.0,0.8,0.6,0.3,4.2,3.9,47.5,6.79,0.0,0,0,0,0,34.7,4.7,0.1,0.4,0.1,0.7,3.7,2.3,"LA Galaxy, ",0.3,0.3,0.8,0.653846154,0.518518519,0.88071066,0.621621622,0.8540000000000001,0.012,0.012,0.5489999999999999,0.768,0.5489999999999999,0.7929999999999999,0.049,0.256,0.5489999999999999,0.7440000000000001,0.012,0.8540000000000001,0.012,0.073,1.0,0.012,0.012,0.561,0.7070000000000001,0.902,0.732,0.585,0.988,0.451,0.7440000000000001,0.732,0.537,0.6709999999999999,0.927,0.8540000000000001,0.768,0.47600000000000003,0.7559999999999999,0.573,0.195,0.098,27,62.195,0.536
57,Miles Robinson ,27,0.0,0,0.0,0,0.0,0.0,0,0.6,3.9,0.3,0.1,0.4,0.3,1.3,4.4,3.1,0.7,0.9,0,0.0,0.0,0.0,1.9,0.0,0.0,0.1,2430,0.0,0.7,0.7,0.1,2.7,3.1,58.7,7.13,0.0,0,0,0,0,48.0,4.9,0.0,0.5,0.0,0.6,2.5,1.9,"Atlanta United, ",0.5,0.1,0.75,0.704545455,0.465517241,0.9073724009999999,0.76,0.012,0.012,0.012,0.39,0.195,0.5489999999999999,0.61,0.37799999999999995,0.8540000000000001,0.8170000000000001,0.866,0.012,0.012,0.012,0.841,0.012,0.012,0.012,0.46299999999999997,0.866,0.39,0.305,0.37799999999999995,0.988,0.89,0.8290000000000001,0.012,0.012,0.573,0.768,0.244,0.134,0.39,0.902,0.37799999999999995,0.573,0.61,22,93.902,0.622
58,Justen Glad ,19,0.0,0,0.0,0,0.0,0.0,0,0.4,4.6,0.2,0.1,0.2,0.1,1.6,4.3,2.7,1.0,0.5,0,0.0,0.0,0.0,1.2,0.0,0.1,0.1,1704,0.0,0.6,0.5,0.2,2.9,3.4,48.4,6.79,0.0,0,0,0,0,37.6,4.6,0.0,0.3,0.1,0.4,1.2,0.8,"Real Salt Lake, ",0.3,0.1,0.5,0.627906977,0.46031746,0.8909952609999999,0.666666667,0.012,0.012,0.012,0.768,0.46299999999999997,0.5489999999999999,0.195,0.598,0.6829999999999999,0.402,0.537,0.012,0.012,0.012,0.37799999999999995,0.012,0.183,0.012,0.354,0.573,0.768,0.341,0.46299999999999997,0.988,0.561,0.7070000000000001,0.012,0.537,0.341,0.134,0.8540000000000001,0.134,0.207,0.585,0.354,0.317,0.268,22,19.512,0.448
59,Kamal Miller ,6,0.0,0,0.0,0,0.0,0.0,0,0.5,4.2,0.0,0.0,0.2,0.2,1.0,2.0,1.0,0.2,0.2,0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,540,0.0,0.5,0.2,0.0,1.8,5.3,40.5,6.44,0.0,0,0,0,0,29.3,4.0,0.0,0.0,0.0,0.0,1.5,1.0,"Orlando City, ",0.5,0.0,1.0,0.5,0.253521127,0.87987988,0.666666667,0.012,0.012,0.012,0.61,0.988,0.012,0.402,0.11,0.037000000000000005,0.963,0.073,0.012,0.012,0.012,0.37799999999999995,0.012,0.012,0.012,0.244,0.134,0.012,0.073,0.89,0.988,0.22,0.524,0.012,0.012,0.012,0.268,0.244,0.012,0.585,0.098,0.024,0.183,0.207,22,1.22,0.29
60,Graham Smith ,8,0.1,0,0.1,0,0.0,0.0,0,0.1,3.8,0.0,0.0,0.0,0.0,2.1,4.7,2.6,0.7,0.5,0,0.0,0.1,0.1,0.7,0.0,0.3,0.3,691,0.0,1.7,0.3,0.0,3.9,1.6,57.8,7.04,0.0,0,0,0,0,49.6,2.7,0.0,0.5,0.1,0.7,1.3,1.2,"Sporting Kansas City, ",0.4,0.0,0.0,0.553191489,0.709090909,0.948374761,0.923076923,0.8540000000000001,1.0,0.012,0.341,0.988,0.012,0.012,0.902,0.6459999999999999,0.8170000000000001,0.537,0.012,0.012,0.9390000000000001,0.073,0.012,0.78,0.012,0.988,0.305,0.012,0.6459999999999999,0.049,0.988,0.9390000000000001,0.11,0.012,0.537,0.6709999999999999,0.402,0.598,0.012,0.012,0.354,0.988,0.988,0.976,23,98.78,0.693
61,Alex Crognale ,9,0.0,0,0.0,0,0.0,0.0,0,0.4,3.1,0.2,0.1,0.1,0.0,1.2,3.0,1.8,1.1,0.8,0,0.0,0.0,0.0,0.8,0.0,0.1,0.1,810,0.0,1.0,0.1,0.1,4.8,3.7,39.0,6.37,0.0,0,0,0,0,27.0,3.6,0.0,0.0,0.3,0.3,1.4,1.0,"Columbus Crew, ",0.2,0.6,0.0,0.6,0.564705882,0.882352941,0.7142857140000001,0.012,0.012,0.012,0.146,0.46299999999999997,0.5489999999999999,0.012,0.256,0.317,0.341,0.805,0.012,0.012,0.012,0.134,0.012,0.183,0.012,0.7559999999999999,0.073,0.39,0.841,0.537,0.988,0.134,0.366,0.012,0.9390000000000001,0.195,0.268,0.927,1.0,0.012,0.5,0.7559999999999999,0.23199999999999998,0.415,25,17.073,0.44
62,Walker Zimmerman ,21,0.0,0,0.0,0,0.0,0.0,0,0.6,3.8,0.1,0.1,0.4,0.2,2.1,6.1,4.0,1.2,0.5,0,0.0,0.0,0.0,1.5,0.0,0.2,0.2,1844,0.0,0.4,0.2,0.1,2.2,3.6,53.7,6.94,0.0,0,0,0,0,43.0,4.8,0.0,0.8,0.1,0.9,2.4,1.8,"Los Angeles FC, ",0.4,0.2,0.5,0.655737705,0.379310345,0.89958159,0.75,0.012,0.012,0.012,0.341,0.768,0.5489999999999999,0.402,0.902,0.927,0.207,0.537,0.012,0.012,0.012,0.622,0.012,0.46299999999999997,0.012,0.11,0.134,0.39,0.146,0.5,0.988,0.695,0.805,0.012,0.537,0.89,0.7440000000000001,0.598,0.5,0.207,0.768,0.146,0.42700000000000005,0.561,26,39.024,0.49
63,Aaron Long ,18,0.0,0,0.0,0,0.0,0.0,0,0.2,5.3,0.2,0.1,0.1,0.1,2.6,7.5,4.9,0.7,1.0,0,0.0,0.1,0.1,1.4,0.0,0.2,0.2,1569,0.0,0.7,0.6,0.1,2.6,6.5,38.8,6.73,0.0,0,0,0,0,22.0,7.6,0.0,0.6,0.1,0.7,0.9,0.7,"New York Red Bulls, ",0.4,0.1,1.0,0.653333333,0.28571428600000004,0.743243243,0.7777777779999999,0.012,0.012,0.012,0.902,0.46299999999999997,0.5489999999999999,0.195,0.976,0.988,0.8170000000000001,0.902,0.012,0.012,0.9390000000000001,0.537,0.012,0.46299999999999997,0.012,0.46299999999999997,0.7070000000000001,0.39,0.256,0.976,0.988,0.049,1.0,0.012,0.537,0.6709999999999999,0.085,0.598,0.134,0.585,0.7440000000000001,0.037000000000000005,0.012,0.6709999999999999,26,25.61,0.459
64,Nick Hagglund ,16,0.0,0,0.0,0,0.0,0.0,0,0.4,5.0,0.3,0.2,0.7,0.5,1.9,5.9,4.1,0.8,0.2,0,0.0,0.0,0.0,1.4,0.0,0.2,0.2,1440,0.1,1.3,0.4,0.2,5.6,5.5,49.3,6.65,0.0,0,0,0,0,33.3,4.9,0.0,0.4,0.2,0.6,1.6,1.1,"FC Cincinnati, ",0.3,0.1,0.7142857140000001,0.6949152540000001,0.504504505,0.871727749,0.6875,0.012,0.012,0.012,0.841,0.195,0.915,0.878,0.866,0.951,0.6709999999999999,0.073,0.012,0.012,0.012,0.537,0.012,0.46299999999999997,0.78,0.9390000000000001,0.512,0.768,0.927,0.927,0.988,0.37799999999999995,0.8290000000000001,0.012,0.8290000000000001,0.573,0.366,0.8540000000000001,0.134,0.37799999999999995,0.8540000000000001,0.47600000000000003,0.134,0.305,26,81.707,0.578
65,Shane O'Neill ,8,0.0,0,0.0,0,0.0,0.0,0,0.5,4.6,0.3,0.4,0.7,0.3,0.9,4.5,3.6,0.7,0.1,0,0.0,0.0,0.0,1.1,0.0,0.5,0.5,678,0.0,0.9,0.7,0.4,2.8,6.4,40.2,6.64,0.0,0,0,0,0,24.2,6.9,0.0,0.4,0.0,0.4,2.4,1.9,"Orlando City, ",0.5,0.3,0.428571429,0.8,0.304347826,0.778135048,0.791666667,0.012,0.012,0.012,0.768,0.195,0.988,0.61,0.049,0.915,0.8170000000000001,0.037000000000000005,0.012,0.012,0.012,0.293,0.012,0.976,0.012,0.6829999999999999,0.866,0.976,0.32899999999999996,0.951,0.988,0.061,0.988,0.012,0.012,0.341,0.768,0.244,0.768,0.195,0.988,0.061,0.037000000000000005,0.7440000000000001,26,43.902,0.5
66,Tim Parker ,22,0.0,0,0.0,0,0.0,0.0,0,0.3,3.7,0.2,0.0,0.1,0.1,1.3,3.6,2.3,0.8,0.5,0,0.0,0.0,0.0,0.8,0.1,0.1,0.2,1881,0.0,0.5,0.3,0.0,2.5,4.9,37.8,6.51,0.0,0,0,0,0,25.6,4.7,0.0,0.6,0.1,0.7,1.5,1.2,"New York Red Bulls, ",0.6,0.2,1.0,0.638888889,0.33783783799999995,0.8448844879999999,0.8,0.012,0.012,0.012,0.317,0.46299999999999997,0.012,0.195,0.37799999999999995,0.573,0.6709999999999999,0.537,0.012,0.012,0.012,0.134,0.7440000000000001,0.183,0.012,0.244,0.305,0.012,0.22,0.8290000000000001,0.988,0.085,0.7440000000000001,0.012,0.537,0.6709999999999999,0.402,0.098,0.5,0.585,0.6709999999999999,0.085,0.061,0.7559999999999999,26,4.878,0.341
67,Steven Birnbaum ,30,0.0,0,0.0,0,0.0,0.0,0,0.1,5.3,0.1,0.0,0.1,0.0,2.2,7.4,5.2,1.1,0.3,0,0.0,0.0,0.0,1.2,0.0,0.1,0.2,2672,0.2,1.0,0.2,0.0,2.1,3.0,42.5,6.94,0.0,0,0,0,0,32.0,5.4,0.0,0.6,0.1,0.7,0.7,0.6,"DC United, ",0.3,0.2,0.0,0.7027027029999999,0.41176470600000004,0.855614973,0.857142857,0.012,0.012,0.012,0.902,0.768,0.012,0.012,0.9390000000000001,1.0,0.341,0.171,0.012,0.012,0.012,0.37799999999999995,0.012,0.183,0.963,0.7559999999999999,0.134,0.012,0.11,0.354,0.988,0.32899999999999996,0.9390000000000001,0.012,0.537,0.6709999999999999,0.061,0.8540000000000001,0.5,0.012,0.89,0.195,0.085,0.902,28,37.805,0.486
68,Daniel Steres ,23,0.0,0,0.0,0,0.0,0.0,0,0.3,3.9,0.0,0.0,0.3,0.3,1.6,4.5,2.9,0.7,0.4,0,0.0,0.1,0.1,1.7,0.0,0.2,0.2,1985,0.0,1.0,0.2,0.1,4.0,3.2,45.3,6.85,0.0,0,0,0,0,34.1,4.0,0.0,0.4,0.3,0.7,1.1,0.8,"LA Galaxy, ",0.3,0.1,1.0,0.644444444,0.5555555560000001,0.895013123,0.727272727,0.012,0.012,0.012,0.39,0.988,0.012,0.61,0.598,0.768,0.8170000000000001,0.39,0.012,0.012,0.9390000000000001,0.7559999999999999,0.012,0.46299999999999997,0.012,0.7559999999999999,0.134,0.39,0.695,0.402,0.988,0.415,0.524,0.012,0.9390000000000001,0.6709999999999999,0.134,0.8540000000000001,0.134,0.585,0.695,0.72,0.366,0.47600000000000003,28,90.244,0.612
69,Brent Kallman ,14,0.1,0,0.0,0,0.1,0.0,0,0.4,4.4,0.1,0.0,0.1,0.1,1.6,4.1,2.5,0.9,0.8,0,0.0,0.0,0.0,1.4,0.0,0.1,0.1,1260,0.1,0.4,0.6,0.1,2.1,1.6,43.6,6.67,0.0,0,0,0,0,35.9,4.1,0.0,0.1,0.0,0.1,1.3,0.9,"Minnesota United, ",0.4,0.1,1.0,0.609756098,0.567567568,0.8975,0.692307692,0.8540000000000001,0.012,0.012,0.7070000000000001,0.768,0.012,0.195,0.598,0.634,0.5489999999999999,0.805,0.012,0.012,0.012,0.537,0.012,0.183,0.78,0.11,0.7070000000000001,0.39,0.11,0.049,0.988,0.488,0.573,0.012,0.012,0.085,0.22,0.598,0.134,0.585,0.524,0.78,0.39,0.32899999999999996,28,34.146,0.482
70,Ike Opara ,23,0.0,0,0.0,0,0.0,0.0,0,0.5,5.6,0.1,0.1,0.4,0.3,1.6,4.4,2.9,0.7,0.2,0,0.0,0.1,0.1,1.7,0.0,0.2,0.3,2064,0.0,0.9,0.6,0.0,2.1,2.6,37.4,7.13,0.0,0,0,0,0,28.3,4.4,0.0,0.6,0.2,0.9,2.1,1.6,"Minnesota United, ",0.4,0.1,0.75,0.659090909,0.446808511,0.865443425,0.761904762,0.012,0.012,0.012,0.951,0.768,0.5489999999999999,0.61,0.598,0.768,0.8170000000000001,0.073,0.012,0.012,0.9390000000000001,0.7559999999999999,0.012,0.46299999999999997,0.012,0.6829999999999999,0.7070000000000001,0.012,0.11,0.256,0.988,0.171,0.6459999999999999,0.012,0.8290000000000001,0.89,0.7070000000000001,0.598,0.134,0.39,0.7929999999999999,0.28,0.122,0.634,30,75.61,0.565
71,Omar González ,8,0.1,0,0.0,0,0.1,0.0,0,0.4,4.0,0.0,0.0,0.1,0.1,0.8,4.3,3.5,0.4,0.3,0,0.0,0.0,0.0,0.8,0.0,0.3,0.3,720,0.1,1.0,0.1,0.3,4.1,4.6,57.1,6.81,0.0,0,0,0,0,43.9,4.5,0.0,0.9,0.0,0.9,0.8,0.4,"Toronto FC, ",0.3,0.0,1.0,0.813953488,0.471264368,0.9070247929999999,0.5,0.8540000000000001,0.012,0.012,0.5,0.988,0.012,0.195,0.024,0.89,0.951,0.171,0.012,0.012,0.012,0.134,0.012,0.78,0.78,0.7559999999999999,0.073,0.902,0.7070000000000001,0.768,0.988,0.732,0.6829999999999999,0.012,0.012,0.89,0.037000000000000005,0.8540000000000001,0.012,0.585,1.0,0.402,0.561,0.024,30,82.927,0.579
72,Jalil Anibaba ,16,0.0,0,0.0,0,0.0,0.0,0,0.4,3.9,0.0,0.1,0.2,0.1,1.3,3.7,2.4,0.6,0.5,0,0.1,0.0,0.1,1.9,0.0,0.0,0.0,1439,0.0,1.0,0.8,0.1,3.8,6.4,33.0,6.73,0.1,0,0,0,0,18.8,4.0,0.1,0.3,0.0,0.3,1.8,1.3,"New England Revolution, ",0.4,0.1,0.5,0.648648649,0.37254902,0.8245614040000001,0.7222222220000001,0.012,0.012,0.012,0.39,0.988,0.5489999999999999,0.195,0.37799999999999995,0.598,0.8540000000000001,0.537,0.012,0.8540000000000001,0.012,0.841,0.012,0.012,0.012,0.7559999999999999,0.951,0.39,0.61,0.951,0.061,0.024,0.524,0.732,0.012,0.195,0.488,0.598,0.134,0.207,0.72,0.134,0.049,0.451,30,80.488,0.576
73,Chad Marshall ,8,0.0,0,0.0,0,0.0,0.0,0,0.3,3.6,0.0,0.0,0.0,0.0,1.6,4.6,3.0,0.8,0.3,0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,720,0.0,1.0,0.0,0.0,2.9,1.3,45.4,6.89,0.0,0,0,0,0,38.5,2.8,0.0,0.8,0.1,0.9,1.0,0.8,"Seattle Sounders FC, ",0.3,0.0,0.0,0.6521739129999999,0.69047619,0.93220339,0.8,0.012,0.012,0.012,0.244,0.988,0.012,0.012,0.598,0.8290000000000001,0.6709999999999999,0.171,0.012,0.012,0.012,0.23199999999999998,0.012,0.78,0.012,0.7559999999999999,0.012,0.012,0.341,0.024,0.988,0.598,0.146,0.012,0.537,0.89,0.134,0.8540000000000001,0.012,0.012,0.732,0.976,0.8540000000000001,0.768,35,95.122,0.625
74,Drew Moor ,11,0.0,0,0.0,0,0.0,0.0,0,0.5,1.5,0.1,0.1,0.2,0.1,1.5,3.1,1.6,0.7,0.4,0,0.0,0.0,0.0,0.6,0.0,0.1,0.1,990,0.1,0.6,0.0,0.1,3.3,1.5,57.9,6.34,0.0,0,0,0,0,49.5,3.6,0.0,0.1,0.0,0.1,2.1,1.5,"Toronto FC, ",0.4,0.2,0.5,0.516129032,0.6875,0.93220339,0.7142857140000001,0.012,0.012,0.012,0.012,0.768,0.5489999999999999,0.195,0.537,0.22,0.8170000000000001,0.39,0.012,0.012,0.012,0.061,0.012,0.183,0.78,0.354,0.012,0.39,0.488,0.037000000000000005,0.988,0.927,0.366,0.012,0.012,0.085,0.634,0.598,0.5,0.207,0.183,0.963,0.841,0.415,35,56.098,0.52
75,James Sands ,13,0.0,0,0.0,0,0.0,0.0,0,0.2,4.2,0.3,0.0,0.4,0.4,1.0,2.9,1.8,1.1,0.7,0,0.0,0.0,0.0,1.6,0.0,0.2,0.2,1032,0.1,0.6,0.7,0.1,2.9,2.4,52.8,6.68,0.0,0,0,0,0,42.9,4.7,0.0,0.0,0.0,0.0,1.7,1.5,"New York City FC, ",0.7,0.2,1.0,0.620689655,0.5471698110000001,0.901260504,0.882352941,0.012,0.012,0.012,0.61,0.195,0.012,0.7929999999999999,0.11,0.317,0.341,0.7440000000000001,0.012,0.012,0.012,0.7070000000000001,0.012,0.46299999999999997,0.78,0.354,0.866,0.39,0.341,0.171,0.988,0.6829999999999999,0.7440000000000001,0.012,0.012,0.012,0.634,0.073,0.5,0.585,0.561,0.695,0.451,0.9390000000000001,19,51.22,0.511
76,Auston Trusty ,22,0.0,0,0.0,0,0.0,0.0,0,0.5,4.0,0.3,0.1,0.5,0.4,2.6,5.4,2.9,1.4,0.6,0,0.0,0.0,0.0,1.3,0.1,0.1,0.2,1966,0.0,1.1,0.4,0.1,3.1,5.4,48.6,6.86,0.0,0,0,0,0,35.8,4.3,0.1,0.2,0.2,0.5,3.3,2.8,"Philadelphia Union, ",1.0,0.1,0.8,0.537037037,0.36470588200000004,0.89276808,0.848484848,0.012,0.012,0.012,0.5,0.195,0.5489999999999999,0.7929999999999999,0.976,0.768,0.122,0.695,0.012,0.012,0.012,0.488,0.7440000000000001,0.183,0.012,0.878,0.512,0.39,0.439,0.915,0.988,0.47600000000000003,0.622,0.732,0.8290000000000001,0.451,0.976,0.0,0.134,0.47600000000000003,0.268,0.122,0.354,0.89,21,26.829,0.463
77,Andrew Farrell ,18,0.0,0,0.0,0,0.0,0.0,0,1.2,4.6,0.2,0.1,0.3,0.2,0.6,1.3,0.7,0.7,0.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1613,0.0,0.4,0.6,0.1,2.7,4.9,38.9,6.43,0.0,0,0,0,0,27.6,3.7,0.0,0.0,0.0,0.0,2.3,1.2,"New England Revolution, ",0.4,0.3,0.666666667,0.538461538,0.35526315799999997,0.8817891370000001,0.52173913,0.012,0.012,0.012,0.768,0.46299999999999997,0.5489999999999999,0.402,0.012,0.012,0.8170000000000001,0.866,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.11,0.7070000000000001,0.39,0.305,0.8290000000000001,0.988,0.146,0.42700000000000005,0.012,0.012,0.012,0.402,0.598,0.768,0.293,0.28,0.098,0.22,0.049,27,3.659,0.301
78,Eriq Zavaleta ,11,0.0,0,0.0,0,0.0,0.0,0,0.6,3.3,0.1,0.1,0.1,0.0,1.8,3.7,1.9,1.0,0.1,0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,912,0.0,0.4,0.3,0.0,2.6,2.2,54.5,6.39,0.0,0,0,0,0,47.2,2.6,0.0,0.5,0.0,0.5,2.6,2.0,"Toronto FC, ",0.3,0.1,0.0,0.513513514,0.541666667,0.947791165,0.7692307690000001,0.012,0.012,0.012,0.171,0.768,0.5489999999999999,0.012,0.8540000000000001,0.354,0.402,0.037000000000000005,0.012,0.012,0.012,0.012,0.7440000000000001,0.183,0.012,0.11,0.305,0.012,0.256,0.134,0.988,0.841,0.085,0.012,0.012,0.451,0.841,0.8540000000000001,0.134,0.012,0.159,0.6709999999999999,0.976,0.659,27,54.878,0.515
79,Matt Hedges ,28,0.0,0,0.0,0,0.0,0.0,0,0.5,4.0,0.2,0.1,0.5,0.4,1.3,3.4,2.1,0.4,0.3,0,0.0,0.0,0.0,1.5,0.0,0.3,0.3,2435,0.0,0.9,0.3,0.0,4.3,3.3,61.7,6.76,0.0,0,0,0,0,50.2,4.0,0.0,0.3,0.0,0.3,1.8,1.3,"FC Dallas, ",0.4,0.2,0.8,0.6176470589999999,0.565789474,0.926199262,0.7222222220000001,0.012,0.012,0.012,0.5,0.46299999999999997,0.5489999999999999,0.7929999999999999,0.37799999999999995,0.47600000000000003,0.951,0.171,0.012,0.012,0.012,0.622,0.012,0.78,0.012,0.6829999999999999,0.305,0.012,0.7559999999999999,0.451,0.988,0.951,0.524,0.012,0.012,0.195,0.488,0.598,0.5,0.47600000000000003,0.537,0.768,0.768,0.451,29,97.561,0.63
80,Josh Williams ,10,0.0,0,0.0,0,0.0,0.0,0,0.1,3.6,0.0,0.1,0.1,0.0,1.7,3.5,1.7,1.2,0.5,0,0.2,0.0,0.2,0.7,0.0,0.1,0.1,829,0.2,0.3,0.3,0.0,2.9,2.5,48.1,6.69,0.0,0,0,0,0,39.8,2.8,0.0,0.3,0.0,0.3,1.3,1.2,"Columbus Crew, ",0.4,0.2,0.0,0.485714286,0.537037037,0.9342722999999999,0.923076923,0.012,0.012,0.012,0.244,0.988,0.5489999999999999,0.012,0.768,0.256,0.207,0.537,0.012,0.951,0.012,0.073,0.012,0.183,0.963,0.037000000000000005,0.305,0.012,0.341,0.195,0.988,0.622,0.146,0.012,0.012,0.195,0.402,0.598,0.5,0.012,0.073,0.6459999999999999,0.878,0.976,31,24.39,0.457
81,Matt Besler ,21,0.0,0,0.0,0,0.0,0.0,0,0.5,3.6,0.1,0.0,0.2,0.2,1.1,4.0,2.9,0.5,0.4,0,0.0,0.0,0.0,1.5,0.2,0.2,0.3,1775,0.0,0.6,0.3,0.0,4.5,5.2,71.3,6.68,0.0,0,0,0,0,56.7,4.9,0.0,0.1,0.0,0.1,1.3,0.8,"Sporting Kansas City, ",0.4,0.1,1.0,0.725,0.463917526,0.920454545,0.615384615,0.012,0.012,0.012,0.244,0.768,0.012,0.402,0.195,0.768,0.878,0.39,0.012,0.012,0.012,0.622,0.963,0.46299999999999997,0.012,0.354,0.305,0.012,0.8170000000000001,0.866,0.988,0.988,0.8290000000000001,0.012,0.012,0.085,0.134,0.598,0.134,0.585,0.927,0.366,0.695,0.073,32,85.366,0.592
